类别,物品,具体型号/规格,数量,参考单价(AUD),渠道,必需?,用途/备注
主控,RP2040 开发板,RP2040-Plus 16MB USB-C（Core Electronics 自家版;或用 Raspberry Pi Pico 原版 RP2040）,2,13,Core Electronics,必买,主控;26 GPIO 矩阵10+旋钮3绰绰有余;1块备用
二极管,1N4148 直插二极管,1N4148 DO-35（100颗装）,100,8,Core Electronics,必买,矩阵防鬼键;25键用25颗;注意方向（丝印横杠）
按键,面包板瞬时按键,6×6mm 四脚 Tactile Switch（0.1英寸间距，面包板兼容）,40,10,Core Electronics,必买,5×5矩阵用25颗+备用15颗
面包板,面包板,MB-102 830孔无焊面包板,2,16,Core Electronics,必买,一块放25键矩阵，一块放主控+旋钮
旋钮,旋转编码器,EC11 20脉冲/圈带按键（推荐 KY-040 模块版，自带板载上拉最省事）,2,10,Jaycar或淘宝,必买,音量/达芬奇LR滑块控制;1用1备用
旋钮帽,旋钮帽,6mm 圆轴旋钮帽（配 EC11 轴径）,2,5,Jaycar或淘宝,必买,旋钮手感;多买一个备用
电阻,10kΩ 电阻,10kΩ 1/4W 直插（100颗装）,100,5,Jaycar,可选,EC11 上拉用;买 KY-040 模块版可跳过
跳线,杜邦线套装,公对公+公对母组合套装（约140pcs）,1,15,Core Electronics,必买,按键/矩阵接线;公对母接RP2040排针
烙铁,恒温烙铁,936恒温焊台（平价款;预算够可上 Hakko FX-888D）,1,50,Jaycar,必买,焊接闭环;家里已有可跳过
焊锡,焊锡丝,0.8mm 60/40 含铅焊锡,1,8,Jaycar,必买,焊接用;含铅好焊
机械轴,机械轴（可选）,Gateron 黄轴或茶轴 5-pin,10,10,Switchkeys或Daily Clack,可选,阶段3 Alice 用;先买10颗试手感
LED,LED（可选）,5mm 红色 LED,5,2,Jaycar,可选,原型机状态指示
电阻,220Ω 电阻,220Ω 1/4W 直插,10,1,Jaycar,可选,LED 限流
万用表,数字万用表,DT830B 或同级入门款,1,15,Jaycar,可选,确认按键引脚/二极管方向
